country,tax_rate,unempl_rate,edu_index,health_index,corruption_rank,democracy_index,personal_freedom,economic_freedom,human_freedom,inflation,median_age,life_expectancy,social_mobility,press_score,gdp_per_capita,literacy_rate,infant_mortality,political_rights,civil_liberties,hdi,crime_index,safety_index,epi,pollution,safety,law_index,happiness,gini,gdp_growth,voting_age,reg_voters,opportunity,share_agriculture,avg_temperature,suicide_total,suicide_male,suicide_female,perc_urban_pop,urban_rate
Mozambique,32,3.39,0.385,N/A,149,3.51,6.89,5.6,6.24,15.3,17.3,60.8,N/A,35.39,1250,60.7,105.8,14,29,0.456,N/A,N/A,33.9,N/A,N/A,-1.02,4.624,54,-0.5,N/A,N/A,129,26.03,23.8,13.6,22,5.7,37,4.35
Myanmar,25,1.79,0.443,N/A,137,3.04,5.26,5.63,5.44,N/A,N/A,N/A,N/A,46.14,6174,75.6,N/A,13,15,0.583,46.51,53.49,25.1,89.77,54.14,N/A,4.308,38.1,3.18,N/A,N/A,N/A,N/A,13.05,2.9,4.9,1.1,31,1.74
Nagorno-Karabakh,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Namibia,37,33.4,0.571,N/A,57,6.52,6.97,6.53,6.75,6.1,N/A,N/A,N/A,19.72,10471,91.5,45.5,31,46,0.646,65.21,34.79,40.2,N/A,32.79,0.31,4.571,59.1,-7.24,N/A,N/A,N/A,7.07,19.95,9.7,16.7,3.2,52,4.2
Nauru,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.1,N/A,N/A,N/A,N/A,N/A,N/A,9.25,34,43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,-0.06
Nepal,N/A,4.44,0.502,57.94,117,5.22,6.53,6.49,6.51,4.5,N/A,N/A,N/A,34.62,2702,67.9,47.61,25,31,0.602,36.01,63.99,32.7,84.12,65.44,-0.54,5.137,32.8,-1.87,N/A,N/A,103,21.58,8.1,9,16.4,2.7,20,3.15
Netherlands,35,3.2,0.906,75.28,8,8.96,9.28,7.72,8.5,1.3,41.8,82.1,82.4,9.67,54422,N/A,9,40,58,0.944,27.16,72.84,75.3,25.39,72.38,1.81,7.449,28.2,-3.79,77.31,81.93,4,1.65,9.25,11.8,15.5,8.3,92,0.74
New Caledonia,N/A,16.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.4,N/A,N/A,N/A,N/A,N/A,96.9,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71,1.89
New Zealand,33,4,0.917,73.59,1,9.25,9.27,8.5,8.88,1.9,N/A,N/A,74.3,10.04,40748,N/A,4.9,40,59,0.931,42.88,57.12,71.3,23.72,59.07,1.88,7.3,N/A,-2.99,75.65,79.01,11,N/A,10.55,11,16.5,5.8,86,1.01
Nicaragua,30,4.9,0.558,N/A,159,3.6,6.72,7.01,6.86,3.9,23.1,74.5,N/A,39.98,5855,N/A,25,10,20,0.66,47.89,52.11,39.2,N/A,55.56,-1.18,6.137,46.2,-3,N/A,N/A,100,15.43,24.9,4.4,6.9,1.9,59,1.45
